,Title,Review
10,2nd review trying to pay my bill,"2nd review trying to pay my bill, DCM called me last week told me they are now handling my account ( husband passed away they cancelled my cards, bill not due yet and we pay it off every month!) told her to send me bill as I always paid it on line, and now I can't since cards cancelled) said she would send out bill. HERE it is a week later and still not a bill, I called and spoke with Chloe who told me today to call DCM since they are handling it. REALLY??????just send me a bill and don't ruin my credit!!!!!!!Would definitely NOT recommend this company!!!!!!!"
11,I have been with American express for 6…,"I have been with American express for 6 years never missed a payment always pay more than asked and today I receive an email they were reducing my credit limit by 6,742.00 on one card and £2,00 on another I have good credit and was amazed.  I told them that during these times they should be helping customers but I am so annoyed I will now pay off my cards sent my cards back and never use them again.  Just goes to show what lenders are helpful and what lenders are not.  Don't get a card with American Express they are the most unhelpful loan cards you could get go with Barclaycard they have been brilliant through this difficult time."
12,American Express has the worst customer…,American Express has the worst customer service ever.  I have been a platinum member for 30 years and they just gave me the run-around like nothing I have ever experienced.
13,Nasty company,Nasty company ! They don't tell the truth ! They are the worst customer service on the planet !They probably use the governor of New York to make decisions !  They will tell how wonderful they are wile there screwing you behind your back ! They say there worldwide guess what I'm not!  You'll be transferred to the Philippines  so what you will need is a translator to understand because  you can't understand a word they're saying !
14,Perfect,"Guys, I never had ANY issue using my AMEX and never had ANY issue w/the customer support. What else can I say?! Perfect!"
15,They're terrible,"They're terrible, and even worse when you need to dispute a charge on your card.   They promise to call you back and investigate complaints, but never get back to you, even when you're persistent and keep calling them for over a year in relation to the same matter.Their Disputes team ask for information in relation to a disputed charge, then send you a letter advising they're closing the dispute, because they never received any correspondence from you, even though you may have spent hours compiling all the evidence and sending it to them.  Then you have to call the customer service team to have the dispute reopened, and the process just keeps repeating itself.  Their disputes team just send you generic letters that aren't even in context to the situation.   Dealing with Amex is like banging your head up against a brick wall.  Avoid this company!"
16,Been with Amex for five years in good…,"Been with Amex for five years in good standing only to wake up during COVID and my card be denied. NO email, no call, just that your revolving balance is too high, not close to my limit but revolving balance. The impact of this is on my credit. no lender will lend to someone with a maxed out credit. Thank you AMEX for damaging my credit that i fought so hard to keep."
17,I want to give a ZERO star,"I want to give a ZERO star, but I can not. They stolen money from me after I applied for a credit card to get $250 as a credit, they said to me that there is not any credit amount that I can get. Do NOT apply for skymlles credit card because it is a fake. they lost a customer."
18,Pathetic and Inconsiderate during this pandemic..Get another card.,"I have to write this review because of disappointment.As most of here have bad reviews on how they treat customer during this pandemic.I just pray and hope this company will bankrupt and all of their employees will be jobless and free of us all in credit.The've sent me an e-mail couple of days ago for a reason that they will reduced my credit because of the review they have had conducted ,they reduced my credit limit and  not allowing  me to any cash advances which i never use.What is appalling was the time of doing this review  ,I never request for a payment relief for my card payment as I still pay on time and with no problem,the disgusting part is they have to do this during this pandemic because of their review.I got savings but won't pay in full this balance now,but after this pandemic and I will sort this out and NEVER USE or RECOMMEND it to anyone,they encourage you to be a member ,but AMEX will never assist or concern of your situation..they are just pretending they care,but they are not.To all of you using it,as much as possible ,sort and pay your outstanding balances and close or move to another credit card company.I just wish this company will hit badly and they go burst."
19,I have been a card holder member of…,"I have been a card holder member of American Express for 29 years. My payment was due on May 6, 2020. I forgot to call back to make the payment on May 6, 2020, due to all of the stress with the pandemic and learning that friends of the family have passed away. I called around 7am the next morning and made a payment and $40 late fee was already charged to my account not to mention that they are already getting around $70-$115 in interest charges from me every month. When I called back to ask about waiving the late fee, I was denied. I asked to speak with a supervisor and I was told that the supervisor was off.  This is the thanks that I get after being a valued member for almost 30 years and  during the time that I need it most.  Through the grace of God I was able to borrow the money to pay it off in full in hopes that I don't find myself in this situation ever again. After I paid it in full another charge along with the late fee appeared on my account. I called American  express back and they informed me that there were interest charges I asked again for the late fee and interest charges to be waived. They finally waived the late fee. I appreciate that. The interest charge was  denied."
